Рост;Вес
1;68,8
2;61,3
3;63,3
4;87,4
5;71,7
6;62,6
7;63,2
8;65,2
9;101
10;85,3
11;81,6
12;62,9
13;86,9
14;69,8
15;71,4
16;74
17;52,7
18;75,3
19;72,7
20;78,5
21;82,3
22;69,2
23;74,1
24;85,1
25;69,1
26;82,6
27;72,1
28;73,5
29;57,7
30;60,2
31;75,7
32;72,7
33;79,1
34;58,1
35;63,6
36;81,4
37;63,9
38;56,2
39;63,3
40;61,9
41;57,7
42;65,7
43;90,9
44;87,3
45;63
46;55,8
47;60,9
48;81,2
49;76,8
50;78,8
51;71,5
52;59,8
53;77,1
54;80,3
55;58,4
56;83,1
57;49,7
58;74,8
59;74,5
60;80,6
61;80,6
62;81,3
63;61,6
64;82,1
65;84,3
66;77,3
67;94,2
68;72,5
69;71,3
70;71,8
71;51,7
72;56,6
73;66,7
74;77,1
75;78,4
76;57,3
77;80,8
78;79,7
79;63,5
80;78,3
81;65,9
82;47,1
83;98,1
84;66,6
85;50,1
86;63,9
87;78,9
88;69,6
89;53,6
90;63,9
91;53,8
92;82,3
93;74,8
94;75,9
95;80,3
96;102,5
97;80,4
98;76,5
99;76,1
100;72,8
101;71,3
102;68,3
103;86,6
104;70,7
105;75,1
106;85,5
107;87,3
108;64,8
109;72
110;92,7
111;81,4
112;84,7
113;73,9
114;84,9
115;61,4
116;67,3
117;64,9
118;70,5
119;56,9
120;69,2
121;81,9
122;66
123;66,1
124;81,1
125;75,9
126;94,2
127;64,8
128;53,7
129;63,7
130;80,7
131;87,8
132;105,2
133;81,7
134;67,8
135;59,1
136;59
137;81,9
138;72,3
139;90,5
140;65,5
141;71,9
142;89,8
143;60,5
